"x","y","Crash.Severity","Physical.Juris.Name","Crash.Military.Time","Persons.Injured","K_People","Pedestrians.Injured","Pedestrians.Killed","Vehicle.Count","Collision.Type","Weather.Condition","Light.Condition","Roadway.Surface.Condition","Roadway.Defect","Roadway.Description","Intersection.Type","Alcohol.","Unrestrained.","Distracted.","RTE.Name","Crash.Date"
-78.509239362,38.02926667,"B","104. City of Charlottesville",1219,1,0,0,0,2,"2. Angle","5. Rain","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","3. Three Approaches","No","Belted","No","R-VA   US00029NBBUS008","6/3/2015 4:00:00 AM"
-78.482729746,38.0135739580001,"O","104. City of Charlottesville",2252,0,0,0,0,3,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","Yes","Belted","Yes","S-VA104PR MERIDIAN ST","2/12/2015 5:00:00 AM"
-78.511237858,38.027637166,"O","104. City of Charlottesville",946,0,0,0,0,2,"2. Angle","5. Rain","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","R-VA   US00029NBBUS008","6/4/2015 4:00:00 AM"
-78.491412393,38.0616968140001,"B","104. City of Charlottesville",1429,2,0,0,0,2,"1. Rear End","5. Rain","2. Daylight","2. Wet","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","Yes","S-VA104PR HYDRAULIC RD","9/21/2015 4:00:00 AM"
-78.4850905229999,38.030638804,"O","104. City of Charlottesville",1818,0,0,0,0,2,"3. Head On","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","4. Four Approaches","No","Belted","No","R-VA   US00250EBBUS001","4/24/2015 4:00:00 AM"
-78.511267714,38.0276182850001,"O","104. City of Charlottesville",2013,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","3. Dusk","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","No","R-VA   US00029NBBUS008","8/12/2015 4:00:00 AM"
-78.499378495,38.034484837,"O","104. City of Charlottesville",1202,0,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","1. Two-Way, Not Divided","3. Three Approaches","No","Belted","No","S-VA104NP 14TH ST NW","2/7/2015 5:00:00 AM"
-78.50304798,38.056551864,"O","104. City of Charlottesville",1354,0,0,0,0,4,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","4. Four Approaches","No","Belted","Yes","S-VA104PR BARRACKS RD","10/6/2015 4:00:00 AM"
-78.470942852,38.0397637180001,"O","104. City of Charlottesville",1840,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","2. Two Approaches","No","Belted","No","S-VA104UK PARK  ST RMP001.00A","9/1/2015 4:00:00 AM"
-78.483340517,38.055407383,"C","104. City of Charlottesville",1608,1,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","2. Two Approaches","No","Unbelted","No","S-VA104PR MEADOWBROOK HTS RD","5/26/2015 4:00:00 AM"
-78.506034148,38.0415770820001,"O","104. City of Charlottesville",2348,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","1. Two-Way, Not Divided","1. Not at Intersection","No","Belted","No","R-VA   US00029SBBUS008","11/23/2015 5:00:00 AM"
-78.490146096,38.0250391280001,"O","104. City of Charlottesville",819,0,0,0,0,2,"2. Angle","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","3. Three Approaches","No","Belted","Yes","S-VA104NP 5TH ST SW","8/14/2015 4:00:00 AM"
-78.4972422929999,38.0313062020001,"O","104. City of Charlottesville",1145,0,0,0,0,2,"4. Sideswipe - Same Direction","1. No Adverse Condition (Clear/Cloudy)","2. Daylight","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","No","S-VA104PR LEE ST","1/8/2015 5:00:00 AM"
-78.492008879,38.0617945320001,"O","104. City of Charlottesville",1731,0,0,0,0,3,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","3. Dusk","1. Dry","1. No Defects","3. Two-Way, Divided, Positive Median Barrier","1. Not at Intersection","No","Belted","Yes","R-VA   US00029SB","1/22/2015 5:00:00 AM"
-78.5005137759999,38.051338722,"O","104. City of Charlottesville",1823,0,0,0,0,2,"1. Rear End","1. No Adverse Condition (Clear/Cloudy)","4. Darkness - Road Lighted","1. Dry","1. No Defects","2. Two-Way, Divided, Unprotected Median","1. Not at Intersection","No","Belted","Yes","R-VA   US00029NBBUS008","2/19/2015 5:00:00 AM"
